#FamilyID	pvalue	Significant at 0.05
N0.HOG0000397	0.001	y
N0.HOG0000399	0	y
N0.HOG0000401	0	y
N0.HOG0000406	0.08	n
N0.HOG0000407	0.759	n
N0.HOG0000409	0	y
N0.HOG0000411	0	y
N0.HOG0000413	0.756	n
N0.HOG0000414	0	y
N0.HOG0000415	0.001	y
N0.HOG0000416	0.118	n
N0.HOG0000424	0	y
N0.HOG0000427	0	y
N0.HOG0000429	0	y
N0.HOG0000431	0.918	n
N0.HOG0000432	0.678	n
N0.HOG0000433	0.671	n
N0.HOG0000436	0	y
N0.HOG0000437	0.627	n
N0.HOG0000440	0.827	n
N0.HOG0000441	0	y
N0.HOG0000444	0	y
N0.HOG0000445	0	y
N0.HOG0000449	0.834	n
N0.HOG0000450	0.009	y
N0.HOG0000453	0	y
N0.HOG0000454	0	y
N0.HOG0000459	0.366	n
N0.HOG0000460	0.787	n
N0.HOG0000462	0	y
N0.HOG0000464	0.603	n
N0.HOG0000465	0.482	n
N0.HOG0000467	0	y
N0.HOG0000468	0.024	y
N0.HOG0000469	0	y
N0.HOG0000471	0.001	y
N0.HOG0000472	0	y
N0.HOG0000475	0.329	n
N0.HOG0000476	0.641	n
N0.HOG0000479	0.931	n
N0.HOG0000480	0.011	y
N0.HOG0000483	0.915	n
N0.HOG0000484	0.351	n
N0.HOG0000485	0.407	n
N0.HOG0000486	0.811	n
N0.HOG0000488	0.466	n
N0.HOG0000489	0	y
N0.HOG0000490	0	y
N0.HOG0000492	0.001	y
N0.HOG0000505	0	y
N0.HOG0000506	0.023	y
N0.HOG0000512	0.123	n
N0.HOG0000513	0.383	n
N0.HOG0000514	0	y
N0.HOG0000516	0.414	n
N0.HOG0000517	0.173	n
N0.HOG0000521	0.984	n
N0.HOG0000522	0.001	y
N0.HOG0000524	0.451	n
N0.HOG0000525	0.051	n
N0.HOG0000526	0	y
N0.HOG0000528	0.717	n
N0.HOG0000529	0.006	y
N0.HOG0000531	0	y
N0.HOG0000532	0.828	n
N0.HOG0000533	0.504	n
N0.HOG0000534	0.491	n
N0.HOG0000537	0.723	n
N0.HOG0000538	0.07	n
N0.HOG0000539	0.753	n
N0.HOG0000540	0.185	n
N0.HOG0000541	0.001	y
N0.HOG0000543	0.003	y
N0.HOG0000545	0	y
N0.HOG0000549	0.003	y
N0.HOG0000550	0	y
N0.HOG0000554	0	y
N0.HOG0000555	0.001	y
N0.HOG0000560	0.02	y
N0.HOG0000562	0.043	y
N0.HOG0000565	0.032	y
N0.HOG0000566	0.003	y
N0.HOG0000572	0	y
N0.HOG0000573	0	y
