orthoDB_unsigfnicant_mean_OG_size,orthoDB_sigfnicant_mean_OG_size,genome_size
0.059084950138002565,0.26421059289108884,180.0
0.038146236228555855,0.64742734474242,842.0
0.08666323020814858,0.5857485076352218,471.0
-0.004822428561281745,0.3632599919096967,399.0
0.014693514697567533,0.4916529090179075,250.0
0.004603969548233034,0.3834148724434682,204.0
0.03212891521955539,0.6130040618133438,461.0
-0.02923491179639687,0.5031442331721717,258.0
0.03378297856400945,0.28258228296213145,223.0
0.021008690527580597,0.3063337987966699,589.0
0.06445414337738137,0.5904115483339676,949.0
-0.014342686197343423,0.22739578685336065,375.0
0.06771088832238005,0.46519162396453156,701.0
0.047643807075430165,0.5215631987025674,1202.0
