#FamilyID	pvalue	Significant at 0.05
N0.HOG0000389	0.894	n
N0.HOG0000390	0.729	n
N0.HOG0000391	0	y
N0.HOG0000392	0.003	y
N0.HOG0000397	0	y
N0.HOG0000398	0.01	y
N0.HOG0000405	0.007	y
N0.HOG0000406	0.565	n
N0.HOG0000407	0.001	y
N0.HOG0000410	0.833	n
N0.HOG0000412	0.809	n
N0.HOG0000413	0.708	n
N0.HOG0000414	0.773	n
N0.HOG0000416	0.552	n
N0.HOG0000417	0.797	n
N0.HOG0000418	0.621	n
N0.HOG0000419	0.023	y
N0.HOG0000425	0.983	n
N0.HOG0000426	0.262	n
N0.HOG0000428	0	y
N0.HOG0000430	0.712	n
N0.HOG0000432	0.795	n
N0.HOG0000433	0.144	n
N0.HOG0000434	0	y
N0.HOG0000435	0.008	y
N0.HOG0000437	0	y
N0.HOG0000438	0.966	n
N0.HOG0000439	0.973	n
N0.HOG0000440	0	y
N0.HOG0000442	0.147	n
N0.HOG0000450	0.005	y
N0.HOG0000452	0.826	n
N0.HOG0000453	0.811	n
N0.HOG0000454	0.784	n
N0.HOG0000455	0.662	n
N0.HOG0000459	0.122	n
N0.HOG0000462	0.079	n
N0.HOG0000463	0.005	y
N0.HOG0000466	0.71	n
N0.HOG0000467	0.029	y
N0.HOG0000468	0.854	n
N0.HOG0000469	0	y
N0.HOG0000470	0.001	y
N0.HOG0000472	0.073	n
N0.HOG0000474	0	y
N0.HOG0000475	0	y
N0.HOG0000480	0.214	n
N0.HOG0000483	0.092	n
N0.HOG0000486	0.101	n
N0.HOG0000490	0	y
N0.HOG0000496	0.955	n
N0.HOG0000498	0.85	n
N0.HOG0000499	0.831	n
N0.HOG0000500	0	y
N0.HOG0000501	0.141	n
N0.HOG0000502	0.155	n
N0.HOG0000509	0.481	n
N0.HOG0000510	0.927	n
N0.HOG0000511	0.87	n
N0.HOG0000513	0.833	n
N0.HOG0000514	0.968	n
N0.HOG0000515	0.821	n
N0.HOG0000516	0.932	n
N0.HOG0000517	0.75	n
N0.HOG0000525	0.84	n
N0.HOG0000526	0.923	n
N0.HOG0000527	0.365	n
N0.HOG0000540	0.729	n
N0.HOG0000541	0.999	n
N0.HOG0000545	0.816	n
N0.HOG0000546	0.852	n
N0.HOG0000547	0.833	n
N0.HOG0000555	0.695	n
N0.HOG0000557	0.547	n
N0.HOG0000558	0.708	n
N0.HOG0000559	0.532	n
N0.HOG0000565	0	y
N0.HOG0000567	0.003	y
N0.HOG0000568	0.314	n
N0.HOG0000570	0	y
N0.HOG0000571	0.119	n
N0.HOG0000573	0.892	n
N0.HOG0000574	0.343	n
N0.HOG0000576	0.86	n
N0.HOG0000577	0.903	n
N0.HOG0000578	0.836	n
N0.HOG0000582	0.368	n
N0.HOG0000584	0.96	n
N0.HOG0000585	0.94	n
N0.HOG0000586	0.009	y
N0.HOG0000589	0.863	n
N0.HOG0000590	0.47	n
N0.HOG0000593	0.002	y
N0.HOG0000601	0.349	n
N0.HOG0000602	0	y
N0.HOG0000604	0	y
N0.HOG0000613	0.843	n
N0.HOG0000614	0.708	n
N0.HOG0000615	0.837	n
N0.HOG0000616	0.536	n
N0.HOG0000617	0.018	y
N0.HOG0000619	0.199	n
N0.HOG0000620	0	y
N0.HOG0000621	0.742	n
N0.HOG0000622	0.834	n
N0.HOG0000623	0.86	n
N0.HOG0000627	0.708	n
N0.HOG0000629	0.92	n
N0.HOG0000630	0.999	n
N0.HOG0000632	0.933	n
N0.HOG0000633	0.121	n
N0.HOG0000635	0.599	n
N0.HOG0000636	0.206	n
N0.HOG0000637	0.999	n
N0.HOG0000639	0.456	n
N0.HOG0000640	0.174	n
N0.HOG0000641	0.225	n
N0.HOG0000642	0.838	n
N0.HOG0000643	0.832	n
N0.HOG0000652	0.7	n
N0.HOG0000653	0.821	n
N0.HOG0000654	0.873	n
N0.HOG0000655	0.87	n
N0.HOG0000656	0.786	n
N0.HOG0000657	0	y
N0.HOG0000662	0.446	n
N0.HOG0000664	0	y
N0.HOG0000665	0.002	y
N0.HOG0000666	0.202	n
N0.HOG0000667	0.033	y
N0.HOG0000668	0	y
N0.HOG0000669	0	y
N0.HOG0000672	0.781	n
N0.HOG0000673	0.197	n
N0.HOG0000674	0.892	n
N0.HOG0000675	0.355	n
N0.HOG0000682	0	y
N0.HOG0000683	0	y
N0.HOG0000684	0	y
N0.HOG0000685	0.809	n
N0.HOG0000687	0.383	n
N0.HOG0000688	0.783	n
N0.HOG0000690	0.414	n
N0.HOG0000692	0.74	n
N0.HOG0000693	0.056	n
N0.HOG0000694	0.127	n
N0.HOG0000703	0.748	n
N0.HOG0000704	0.604	n
N0.HOG0000705	0.58	n
N0.HOG0000707	0.359	n
N0.HOG0000708	0.95	n
N0.HOG0000710	0.861	n
N0.HOG0000711	0.472	n
N0.HOG0000712	0.002	y
N0.HOG0000713	0.281	n
N0.HOG0000714	0.273	n
N0.HOG0000715	0.927	n
N0.HOG0000716	0.793	n
N0.HOG0000718	0.093	n
N0.HOG0000719	0.521	n
N0.HOG0000731	0.94	n
N0.HOG0000732	0.708	n
N0.HOG0000733	0.861	n
N0.HOG0000734	0.863	n
N0.HOG0000735	0	y
N0.HOG0000737	0.95	n
N0.HOG0000738	0.574	n
N0.HOG0000739	0.258	n
N0.HOG0000740	0.068	n
N0.HOG0000742	0.548	n
N0.HOG0000743	0.378	n
N0.HOG0000747	0.832	n
N0.HOG0000748	0.838	n
N0.HOG0000749	0.733	n
N0.HOG0000754	0.86	n
N0.HOG0000755	0.859	n
N0.HOG0000756	0.708	n
N0.HOG0000760	0.661	n
N0.HOG0000761	0.809	n
N0.HOG0000762	0.783	n
N0.HOG0000765	0.855	n
N0.HOG0000766	0.459	n
N0.HOG0000767	0.658	n
N0.HOG0000768	0.708	n
N0.HOG0000769	0.826	n
