native_unsigfnicant_mean_OG_size,native_sigfnicant_mean_OG_size,orthoDB_unsigfnicant_mean_OG_size,orthoDB_sigfnicant_mean_OG_size,repeat_percentage
1.160978670012547,2.5348837209302326,1.1457370313302517,1.837429111531191,22.17
1.134378920953576,8.19767441860465,1.0918079096045197,4.440453686200378,41.85
1.0987452948557088,4.732558139534884,1.2208525937339496,3.8525519848771266,49.9
1.015056461731493,3.255813953488372,0.9889573703133026,2.3081285444234405,61.54
1.0602258469259724,4.534883720930233,1.034411915767848,3.1020793950850662,26.63
1.0260978670012546,3.1744186046511627,1.010657421674371,2.4177693761814747,55.2
1.1040150564617315,9.94186046511628,1.0767847971237803,4.102079395085066,51.94
1.040276035131744,6.744186046511628,0.9348998459167951,3.1852551984877127,40.12
1.0468005018820576,2.3488372093023258,1.0808936825885977,1.9168241965973536,20.36
1.1639899623588457,3.302325581395349,1.049563430919363,2.0245746691871456,49.64
1.1534504391468006,6.511627906976744,1.159989727786338,3.89413988657845,72.39
1.0749058971141783,2.686046511627907,0.9675141242937854,1.6880907372400755,45.2
1.18168130489335,8.354651162790697,1.1687211093990755,2.9187145557655954,59.33
1.1175658720200752,5.104651162790698,1.1159476117103235,3.3232514177693764,73.49
