OG	correlation_coeff	p-value	sig_after_multiple_testing
N0.HOG0002225	0.2451842639184212	0.4424376657583864	n
N0.HOG0002040	0.6433566433566434	0.024003191200713644	n
N0.HOG0001241	0.10489510489510491	0.7456094809807079	n
N0.HOG0000566	0.37324869205811934	0.23206767137485984	n
N0.HOG0000590	0.1328671328671329	0.6805975082860818	n
N0.HOG0001294	0.0	1.0	n
N0.HOG0001655	0.5639238070123688	0.05616717538739797	n
N0.HOG0000867	0.1328671328671329	0.6805975082860818	n
N0.HOG0001236	0.15061319069274445	0.6403345250750125	n
N0.HOG0000735	-0.5639238070123688	0.05616717538739797	n
N0.HOG0017619	0.47132395947782424	0.1219218933169533	n
N0.HOG0001474	-0.1316934473779714	0.683288954948474	n
N0.HOG0000136	0.10823759170089164	0.7377511951161495	n
N0.HOG0001561	0.3521214076019994	0.26164342813511765	n
N0.HOG0002320	0.29578198238567943	0.3505963593981538	n
N0.HOG0001891	0.3167761301794447	0.315758197187108	n
N0.HOG0000017	-0.034965034965034975	0.9140933424107598	n
N0.HOG0000164	0.23076923076923078	0.470531995381542	n
N0.HOG0002273	-0.10151592973368523	0.753576706985726	n
N0.HOG0000411	0.2253577008652796	0.4812874129466269	n
N0.HOG0000140	0.4825174825174825	0.11210929146889191	n
N0.HOG0019708	0.47132395947782424	0.1219218933169533	n
N0.HOG0000037	0.2027972027972028	0.5273023541661082	n
N0.HOG0001781	0.38528955758609046	0.21614675953998513	n
N0.HOG0000436	0.46229878231873733	0.13023162566727856	n
N0.HOG0000761	0.8933798727532655	9.050393313658586e-05	y
N0.HOG0001398	-0.09457107322567676	0.7700195826820102	n
N0.HOG0003818	0.5125366600656184	0.08841643063431351	n
N0.HOG0000454	-0.17482517482517487	0.5868236643627043	n
N0.HOG0000177	-0.31468531468531474	0.31913878550330455	n
N0.HOG0002681	-0.027972027972027972	0.9312343512018808	n
N0.HOG0000480	-0.1690182756489597	0.599497869823576	n
N0.HOG0000826	0.3572684988525566	0.25424587401619864	n
N0.HOG0001310	0.3216783216783217	0.30790987618065263	n
